Name,Link,RecipeType,TotalTimeMin,IsFreezable,Rating,ImageLink
Spaghetti i tomatsauce,https://www.arla.dk/opskrifter/spaghetti-i-tomatsauce/,Hovedret,35,False,70,https://images.arla.com/recordid/44C6013D-C743-4A5D-998397D66B4CC7ED/spaghetti-i-tomatsauce.jpg
Hjemmelavede kopnudler,https://www.arla.dk/opskrifter/hjemmelavede-kopnudler/,Madpakke,0,False,80,https://images.arla.com/recordid/9521C1D6-ECF2-48E6-8ABF7F59DEF8C1DB/hjemmelavede-kopnudler.jpg
Grillet laks med sprød salat,https://www.arla.dk/opskrifter/grillet-laks-med-sprod-salat/,Hovedret,30,False,58,https://images.arla.com/recordid/beac5d9d7e49476c884dab67007ed44f/grillet-laks-med-sprod-salat.jpg
Osteboller,https://www.arla.dk/opskrifter/osteboller/,Unknown,60,True,64,https://images.arla.com/recordid/2DE37A03-8DB4-4B56-BB956A9F9E04B308/osteboller.jpg
Overnight laktosefri chiagrød med granatæble,https://www.arla.dk/opskrifter/overnight-chiagrod-med-granatable/,Mellemmaaltid,60,False,84,https://images.arla.com/recordid/4DF5AD88-CDCF-41A7-90A125E71A72F189/overnight-chiagrod-med-granatable.jpg
Ørredmousse på salatbund,https://www.arla.dk/opskrifter/orredmousse-pa-salatbund/,Forret,60,True,78,https://images.arla.com/recordid/53f5d07ccba24fbb8e99ac8501064219/orredmousse-pa-salatbund.jpg
Gule ærter,https://www.arla.dk/opskrifter/gule-arter/,Hovedret,60,False,88,https://images.arla.com/recordid/2C140A1B-415A-41EE-A0CC066F8DA5D2D3/gule-arter.jpg
Champignonsuppe,https://www.arla.dk/opskrifter/champignonsuppe/,Forret,30,True,72,https://images.arla.com/recordid/f4d2fb017b0b4e8d8884aaae00890df0/champignonsuppe.jpg
Grydebrød med fuldkorn,https://www.arla.dk/opskrifter/grydebrod-med-fuldkorn/,Tilbehoer,60,True,70,https://images.arla.com/recordid/522F940B-B165-4557-8A9A785A768B9B15/grydebrod-med-fuldkorn.jpg
Grillede koteletter og blomkål,https://www.arla.dk/opskrifter/grillede-koteletter-og-blomkal/,Hovedret,30,False,84,https://images.arla.com/recordid/afbfe5e045e147c6ada3aa47008134be/grillede-koteletter-og-blomkal.jpg
Marengskrans med hindbær,https://www.arla.dk/opskrifter/marengskrans-med-hindbar/,Dessert,60,False,94,https://cdn-rdb.arla.com/Files/arla-dk/1457446231/d32585e2-85dc-4792-8c4c-5b3efd9f9390.jpg
Vegetariske forårsruller,https://www.arla.dk/opskrifter/vegetariske-forarsruller/,Unknown,60,True,100,https://images.arla.com/recordid/240635DF-B17E-4204-800B80E24F19B782/vegetariske-forarsruller.jpg
Finskbrød,https://www.arla.dk/opskrifter/finskbrod/,Unknown,60,True,74,https://images.arla.com/recordid/a2817456acd749ac91d5ac7400d50c65/finskbrod.jpg
Tarteletskaller,https://www.arla.dk/opskrifter/tarteletskaller/,Tilbehoer,60,False,54,https://images.arla.com/recordid/cef946d30048484d85b5a6ea000e9b92/tarteletskaller.jpg
Fedtfattig lasagne,https://www.arla.dk/opskrifter/fedtfattig-lasagne/,Hovedret,60,False,70,https://cdn-rdb.arla.com/Files/arla-dk/253567810/beaba8ee-85c6-467b-a2d6-51420dc95c4d.jpg
Vaniljebudding,https://www.arla.dk/opskrifter/vaniljebudding/,Dessert,60,False,70,https://images.arla.com/recordid/eb3c83ea300c438eb6dbabd000896326/vaniljebudding.jpg
Linsedeller,https://www.arla.dk/opskrifter/linsedeller/,Unknown,30,True,80,https://images.arla.com/recordid/B77852A1-F92A-42D1-9930F931AF7C8717/linsedeller.jpg
Halloumi burger,https://www.arla.dk/opskrifter/halloumi-burger/,Hovedret,30,False,80,https://cdn-rdb.arla.com/Files/arla-dk/2685892137/f3ecc204-777c-433a-baf9-57f0555d78ff.jpg
Blomkålscurry,https://www.arla.dk/opskrifter/blomkalscurry/,Hovedret,45,False,84,https://images.arla.com/recordid/CE3401F6-A45D-4A04-B3A6AF124D02C567/blomkalscurry.jpg
